age   low Z   high Z   ZDA dust   LWD dust
0.0   3.600230414746544e-43   3.2103965481816317e-43   3.3827668326477596e-43   3.600230414746544e-43
1.0   1.7261378700839595e-43   1.5604713871966444e-43   1.636468370339338e-43   1.73206961534198e-43
2.0   1.1077632045373981e-43   1.0100846855000325e-43   1.0500672043010753e-43   1.1151156151869827e-43
3.0   8.064516129032259e-44   7.636852394916912e-44   7.742430999454934e-44   8.235821210204512e-44
4.0   6.923520028358739e-44   6.675923947874387e-44   6.711481465572784e-44   7.139267111395413e-44
5.0   6.308288586539627e-44   6.124328773566417e-44   6.14673485444532e-44   6.537383373080625e-44
6.0   5.90893620239761e-44   5.760368663594471e-44   5.766959474422382e-44   6.139247966681074e-44
7.0   5.631645341502973e-44   5.502535568389914e-44   5.496534984345869e-44   5.854033194709828e-44
8.0   5.419701699618453e-44   5.311193446412183e-44   5.300023744106375e-44   5.64425820900914e-44
9.0   5.261297057040878e-44   5.164264939185617e-44   5.153704070189327e-44   5.484572993085051e-44
10.0   5.127489909099859e-44   5.045367948593755e-44   5.040322580645161e-44   5.356347057008673e-44
12.0   4.941492726122707e-44   4.846464019851117e-44   4.846464019851117e-44   5.148439816797918e-44
14.0   4.755021302495435e-44   4.710581851070244e-44   4.666965352449223e-44   4.990418396678378e-44
16.0   4.666965352449223e-44   4.582111436950147e-44   4.582111436950147e-44   4.893517068587536e-44
18.0   4.54083115373438e-44   4.50028801843318e-44   4.460462460747931e-44   4.755021302495435e-44
20.0   4.460462460747931e-44   4.4213355970571596e-44   4.4213355970571596e-44   4.710581851070244e-44
25.0   4.307968017645437e-44   4.271459814106069e-44   4.2355651938194636e-44   4.54083115373438e-44
30.0   4.2002688172043014e-44   4.165555851772861e-44   4.1314119513484927e-44   4.4213355970571596e-44
35.0   4.0978232362968794e-44   4.0978232362968794e-44   4.06477627471384e-44   4.307968017645437e-44
40.0   4.0322580645161294e-44   4.0322580645161294e-44   3.968757937515875e-44   4.2355651938194636e-44
45.0   3.968757937515875e-44   3.968757937515875e-44   3.9072268067016756e-44   4.165555851772861e-44
50.0   3.9072268067016756e-44   3.9072268067016756e-44   3.8771712158808935e-44   4.1314119513484927e-44
60.0   3.818426197458456e-44   3.818426197458456e-44   3.7897162260489936e-44   4.0322580645161294e-44
70.0   3.7614347616754933e-44   3.7614347616754933e-44   3.733572281959379e-44   3.968757937515875e-44
80.0   3.706119544592031e-44   3.706119544592031e-44   3.6790675771132566e-44   3.9072268067016756e-44
90.0   3.6524076671341753e-44   3.6524076671341753e-44   3.6261313529821306e-44   3.8475744890421085e-44
100.0   3.600230414746544e-44   3.6261313529821306e-44   3.5746968657057886e-44   3.818426197458456e-44
120.0   3.524701105346267e-44   3.5495229441163107e-44   3.5002240143369177e-44   3.733572281959379e-44
140.0   3.4760845383759733e-44   3.5002240143369177e-44   3.452275740167919e-44   3.6790675771132566e-44
160.0   3.428790871187185e-44   3.452275740167919e-44   3.405623365300785e-44   3.6261313529821306e-44
180.0   3.3827668326477594e-44   3.405623365300785e-44   3.360215053763441e-44   3.5746968657057886e-44
200.0   3.360215053763441e-44   3.3827668326477594e-44   3.3379619739371933e-44   3.5495229441163107e-44
250.0   3.294328484081805e-44   3.3160016977928694e-44   3.2729367406786765e-44   3.4760845383759733e-44
300.0   3.230976013234078e-44   3.251821019771072e-44   3.210396548181632e-44   3.405623365300785e-44
350.0   3.1900775826868114e-44   3.210396548181632e-44   3.170014201663624e-44   3.360215053763441e-44
400.0   3.150201612903226e-44   3.170014201663624e-44   3.1306351432578646e-44   3.3379619739371933e-44
450.0   3.111310234966149e-44   3.150201612903226e-44   3.111310234966149e-44   3.294328484081805e-44
500.0   3.092222442113596e-44   3.111310234966149e-44   3.07336742722266e-44   3.2729367406786765e-44
600.0   3.0363389040031093e-44   3.07336742722266e-44   3.0363389040031093e-44   3.210396548181632e-44
700.0   3.0001920122887866e-44   3.0363389040031093e-44   2.9824393968314564e-44   3.170014201663624e-44
800.0   2.9648956356736243e-44   2.9824393968314564e-44   2.9475570647047733e-44   3.1306351432578646e-44
900.0   2.9304201050262566e-44   2.9648956356736243e-44   2.9304201050262566e-44   3.092222442113596e-44
1000.0   2.8967371153133113e-44   2.9304201050262566e-44   2.8967371153133113e-44   3.07336742722266e-44
1200.0   2.8476398760707124e-44   2.8801843317972353e-44   2.831641899238855e-44   3.0001920122887866e-44
1400.0   2.800179211469534e-44   2.831641899238855e-44   2.800179211469534e-44   2.9648956356736243e-44
1600.0   2.7542746342323287e-44   2.78470860809125e-44   2.7542746342323287e-44   2.9134812604885324e-44
1800.0   2.724498692240628e-44   2.7542746342323287e-44   2.724498692240628e-44   2.8801843317972353e-44
2000.0   2.695359668794204e-44   2.724498692240628e-44   2.695359668794204e-44   2.8476398760707124e-44
2500.0   2.625168010752688e-44   2.6668373442566993e-44   2.6389123458875193e-44   2.78470860809125e-44
3000.0   2.5715931533903887e-44   2.6115661039612234e-44   2.5847808105872625e-44   2.724498692240628e-44
3500.0   2.5201612903225804e-44   2.5715931533903887e-44   2.545617464972304e-44   2.6810226492793414e-44
4000.0   2.4829175274114096e-44   2.532825417409629e-44   2.507623174450329e-44   2.6389123458875193e-44
4500.0   2.4586939417781276e-44   2.507623174450329e-44   2.4829175274114096e-44   2.6115661039612234e-44
5000.0   2.4232320099255586e-44   2.4707463630613537e-44   2.4586939417781276e-44   2.5847808105872625e-44
6000.0   2.3775106512477176e-44   2.4232320099255586e-44   2.4116375983948144e-44   2.5201612903225804e-44
7000.0   2.3443360840210054e-44   2.3887784742394133e-44   2.366348629410874e-44   2.4829175274114096e-44
8000.0   2.3120745782775973e-44   2.355290925535122e-44   2.3443360840210054e-44   2.446758534293768e-44
9000.0   2.280688950518173e-44   2.3334826762246116e-44   2.3120745782775973e-44   2.4232320099255586e-44
10000.0   2.260234341096485e-44   2.3120745782775973e-44   2.2910557184750735e-44   2.3887784742394133e-44
11000.0   2.2401433691756274e-44   2.2910557184750735e-44   2.27041557686719e-44   2.366348629410874e-44
12000.0   2.2302312303739654e-44   2.27041557686719e-44   2.25014400921659e-44   2.355290925535122e-44
13000.0   2.2106677985285798e-44   2.260234341096485e-44   2.2401433691756274e-44   2.3334826762246116e-44
14000.0   2.201014227355966e-44   2.25014400921659e-44   2.2302312303739654e-44   2.32272929983648e-44
15000.0   2.191444600280505e-44   2.2302312303739654e-44   2.220406423191701e-44   2.3120745782775973e-44
16000.0   2.191444600280505e-44   2.220406423191701e-44   2.2106677985285798e-44   2.301517160111946e-44
17000.0   2.1819578271191173e-44   2.201014227355966e-44   2.2106677985285798e-44   2.2910557184750735e-44
