age   low Z   high Z   ZDA dust   LWD dust
0.0   3.761434761675494e-43   3.2943284840818048e-43   3.500224014336918e-43   3.761434761675494e-43
1.0   1.8130656764910653e-43   1.6001024065540197e-43   1.6857266156003885e-43   1.8196110399441015e-43
2.0   1.1640467853683977e-43   1.0371034116553831e-43   1.0862764182424919e-43   1.1694483945812439e-43
3.0   8.514058413251962e-44   7.850969751783741e-44   8.025991370454079e-44   8.645493277264427e-44
4.0   7.336714091186553e-44   6.85758174237437e-44   6.971400526480168e-44   7.511658093360896e-44
5.0   6.693655485584543e-44   6.300403225806452e-44   6.388241547078786e-44   6.895106129473545e-44
6.0   6.292537553864123e-44   5.929791271347249e-44   6.000384024577573e-44   6.478563728335684e-44
7.0   6.014704750173224e-44   5.676038942167975e-44   5.734155381848875e-44   6.199658770781256e-44
8.0   5.8068232495912e-44   5.484572993085051e-44   5.538816022686991e-44   5.986131330932496e-44
9.0   5.64425820900914e-44   5.344986829952451e-44   5.390719337588408e-44   5.826962520977065e-44
10.0   5.514576127620526e-44   5.223132207922447e-44   5.266794755115111e-44   5.695279752141425e-44
12.0   5.305602716468591e-44   5.040322580645161e-44   5.075853555533898e-44   5.484572993085051e-44
14.0   5.148439816797918e-44   4.893517068587536e-44   4.941492726122707e-44   5.328036554593193e-44
16.0   5.040322580645161e-44   4.800307219662058e-44   4.800307219662058e-44   5.206944814716076e-44
18.0   4.941492726122707e-44   4.710581851070244e-44   4.710581851070244e-44   5.106709808151126e-44
20.0   4.846464019851117e-44   4.624149156555195e-44   4.666965352449223e-44   5.040322580645161e-44
25.0   4.666965352449223e-44   4.460462460747931e-44   4.50028801843318e-44   4.846464019851117e-44
30.0   4.582111436950147e-44   4.38288920056101e-44   4.38288920056101e-44   4.755021302495435e-44
35.0   4.460462460747931e-44   4.271459814106069e-44   4.307968017645437e-44   4.666965352449223e-44
40.0   4.38288920056101e-44   4.2002688172043014e-44   4.2355651938194636e-44   4.582111436950147e-44
45.0   4.345105672969967e-44   4.165555851772861e-44   4.165555851772861e-44   4.50028801843318e-44
50.0   4.271459814106069e-44   4.0978232362968794e-44   4.1314119513484927e-44   4.460462460747931e-44
60.0   4.2002688172043014e-44   4.0322580645161294e-44   4.0322580645161294e-44   4.38288920056101e-44
70.0   4.1314119513484927e-44   3.968757937515875e-44   3.968757937515875e-44   4.307968017645437e-44
80.0   4.0978232362968794e-44   3.9072268067016756e-44   3.9377520161290324e-44   4.2355651938194636e-44
90.0   4.0322580645161294e-44   3.8771712158808935e-44   3.8771712158808935e-44   4.2002688172043014e-44
100.0   4.0002560163850492e-44   3.8475744890421085e-44   3.8475744890421085e-44   4.165555851772861e-44
120.0   3.9377520161290324e-44   3.7897162260489936e-44   3.7897162260489936e-44   4.0978232362968794e-44
140.0   3.8771712158808935e-44   3.733572281959379e-44   3.733572281959379e-44   4.0322580645161294e-44
160.0   3.8475744890421085e-44   3.6790675771132566e-44   3.706119544592031e-44   4.0002560163850492e-44
180.0   3.818426197458456e-44   3.6524076671341753e-44   3.6790675771132566e-44   3.968757937515875e-44
200.0   3.7897162260489936e-44   3.6261313529821306e-44   3.6261313529821306e-44   3.9377520161290324e-44
250.0   3.706119544592031e-44   3.5746968657057886e-44   3.5746968657057886e-44   3.8771712158808935e-44
300.0   3.6790675771132566e-44   3.524701105346267e-44   3.524701105346267e-44   3.818426197458456e-44
350.0   3.6261313529821306e-44   3.4760845383759733e-44   3.5002240143369177e-44   3.7897162260489936e-44
400.0   3.600230414746544e-44   3.452275740167919e-44   3.4760845383759733e-44   3.7614347616754933e-44
450.0   3.5746968657057886e-44   3.428790871187185e-44   3.452275740167919e-44   3.733572281959379e-44
500.0   3.5495229441163107e-44   3.405623365300785e-44   3.428790871187185e-44   3.706119544592031e-44
600.0   3.5002240143369177e-44   3.360215053763441e-44   3.3827668326477594e-44   3.6524076671341753e-44
700.0   3.4760845383759733e-44   3.3379619739371933e-44   3.3379619739371933e-44   3.6261313529821306e-44
800.0   3.452275740167919e-44   3.294328484081805e-44   3.3160016977928694e-44   3.600230414746544e-44
900.0   3.405623365300785e-44   3.2729367406786765e-44   3.294328484081805e-44   3.5495229441163107e-44
1000.0   3.3827668326477594e-44   3.251821019771072e-44   3.2729367406786765e-44   3.524701105346267e-44
1200.0   3.3379619739371933e-44   3.210396548181632e-44   3.230976013234078e-44   3.4760845383759733e-44
1400.0   3.294328484081805e-44   3.170014201663624e-44   3.1900775826868114e-44   3.452275740167919e-44
1600.0   3.251821019771072e-44   3.1306351432578646e-44   3.170014201663624e-44   3.405623365300785e-44
1800.0   3.230976013234078e-44   3.111310234966149e-44   3.1306351432578646e-44   3.3827668326477594e-44
2000.0   3.1900775826868114e-44   3.092222442113596e-44   3.111310234966149e-44   3.360215053763441e-44
2500.0   3.1306351432578646e-44   3.0363389040031093e-44   3.0547409579667646e-44   3.294328484081805e-44
3000.0   3.07336742722266e-44   3.0001920122887866e-44   3.0181572339192583e-44   3.251821019771072e-44
3500.0   3.0181572339192583e-44   2.9475570647047733e-44   2.9824393968314564e-44   3.210396548181632e-44
4000.0   2.9824393968314564e-44   2.9304201050262566e-44   2.9475570647047733e-44   3.170014201663624e-44
4500.0   2.9304201050262566e-44   2.8967371153133113e-44   2.9134812604885324e-44   3.1306351432578646e-44
5000.0   2.9134812604885324e-44   2.863819648093842e-44   2.8801843317972353e-44   3.111310234966149e-44
6000.0   2.863819648093842e-44   2.831641899238855e-44   2.8476398760707124e-44   3.0547409579667646e-44
7000.0   2.8158226707514867e-44   2.800179211469534e-44   2.800179211469534e-44   3.0181572339192583e-44
8000.0   2.78470860809125e-44   2.7694080113434954e-44   2.78470860809125e-44   2.9824393968314564e-44
9000.0   2.7542746342323287e-44   2.7542746342323287e-44   2.7542746342323287e-44   2.9475570647047733e-44
10000.0   2.724498692240628e-44   2.724498692240628e-44   2.7393057503506315e-44   2.9304201050262566e-44
11000.0   2.7098508498092267e-44   2.7098508498092267e-44   2.7098508498092267e-44   2.9134812604885324e-44
12000.0   2.695359668794204e-44   2.7098508498092267e-44   2.7098508498092267e-44   2.8967371153133113e-44
13000.0   2.6810226492793414e-44   2.695359668794204e-44   2.695359668794204e-44   2.8801843317972353e-44
14000.0   2.6810226492793414e-44   2.695359668794204e-44   2.695359668794204e-44   2.8801843317972353e-44
15000.0   2.6810226492793414e-44   2.6810226492793414e-44   2.695359668794204e-44   2.863819648093842e-44
16000.0   2.6810226492793414e-44   2.6810226492793414e-44   2.695359668794204e-44   2.863819648093842e-44
17000.0   2.6810226492793414e-44   2.6668373442566993e-44   2.695359668794204e-44   2.863819648093842e-44
18000.0   2.695359668794204e-44   2.6668373442566993e-44   2.695359668794204e-44   2.863819648093842e-44
19000.0   2.7098508498092267e-44   2.6668373442566993e-44   2.695359668794204e-44   2.863819648093842e-44
20000.0   2.7098508498092267e-44   2.6668373442566993e-44   2.695359668794204e-44   2.863819648093842e-44
